model,speaker_id,dialect,text,construct,order_label,choice_dia,choice_a,confidence
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,阴天出门要带雨伞,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,面条在锅里煮着,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,面条在锅里煮着,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,面条在锅里煮着,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,面条在锅里煮着,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,面条在锅里煮着,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,面条在锅里煮着,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,儿童需要悉心抚养,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,农民在山坡上种了树,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,动物会随季节变化换毛,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,有一只鹰在天上飞,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,病人需要及时治疗,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,病人需要及时治疗,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,病人需要及时治疗,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,病人需要及时治疗,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,病人需要及时治疗,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,病人需要及时治疗,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,这本书印制精良,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,这本书印制精良,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,这本书印制精良,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,这本书印制精良,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,这本书印制精良,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,这本书印制精良,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,锅里的包子熟了,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,锅里的包子熟了,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,锅里的包子熟了,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,锅里的包子熟了,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,锅里的包子熟了,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,锅里的包子熟了,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,阴天出门要带雨伞,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,面条在锅里煮着,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,面条在锅里煮着,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,面条在锅里煮着,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,面条在锅里煮着,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,BEI_008,BEI,面条在锅里煮着,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,BEI_008,BEI,面条在锅里煮着,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,儿童需要悉心抚养,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,农民在山坡上种了树,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,动物会随季节变化换毛,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,有一只鹰在天上飞,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,病人需要及时治疗,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,病人需要及时治疗,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,病人需要及时治疗,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,病人需要及时治疗,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,病人需要及时治疗,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,病人需要及时治疗,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,这本书印制精良,Ability,CMNxDIA,1.0,0.0,2.0
qwen2.5,CHD_012,CHD,这本书印制精良,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,这本书印制精良,Trust,CMNxDIA,1.0,0.0,2.0
qwen2.5,CHD_012,CHD,这本书印制精良,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,这本书印制精良,Warmth,CMNxDIA,1.0,0.0,2.0
qwen2.5,CHD_012,CHD,这本书印制精良,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,锅里的包子熟了,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,锅里的包子熟了,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,锅里的包子熟了,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,锅里的包子熟了,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,锅里的包子熟了,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,锅里的包子熟了,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,阴天出门要带雨伞,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,阴天出门要带雨伞,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,阴天出门要带雨伞,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,阴天出门要带雨伞,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,阴天出门要带雨伞,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,阴天出门要带雨伞,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,面条在锅里煮着,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,面条在锅里煮着,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,面条在锅里煮着,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,面条在锅里煮着,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_012,CHD,面条在锅里煮着,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_012,CHD,面条在锅里煮着,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,儿童需要悉心抚养,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,儿童需要悉心抚养,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,儿童需要悉心抚养,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,儿童需要悉心抚养,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,儿童需要悉心抚养,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,儿童需要悉心抚养,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,农民在山坡上种了树,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,农民在山坡上种了树,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,农民在山坡上种了树,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,农民在山坡上种了树,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,农民在山坡上种了树,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,农民在山坡上种了树,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,动物会随季节变化换毛,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,动物会随季节变化换毛,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,动物会随季节变化换毛,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,动物会随季节变化换毛,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,动物会随季节变化换毛,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,动物会随季节变化换毛,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,有一只鹰在天上飞,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,有一只鹰在天上飞,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,有一只鹰在天上飞,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,有一只鹰在天上飞,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,有一只鹰在天上飞,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,有一只鹰在天上飞,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,病人需要及时治疗,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,病人需要及时治疗,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,病人需要及时治疗,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,病人需要及时治疗,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,病人需要及时治疗,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,病人需要及时治疗,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,这本书印制精良,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,这本书印制精良,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,这本书印制精良,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,这本书印制精良,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,这本书印制精良,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,这本书印制精良,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,锅里的包子熟了,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,锅里的包子熟了,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,锅里的包子熟了,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,锅里的包子熟了,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,锅里的包子熟了,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,锅里的包子熟了,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,阴天出门要带雨伞,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,阴天出门要带雨伞,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,阴天出门要带雨伞,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,阴天出门要带雨伞,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,阴天出门要带雨伞,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,CHD_033,CHD,阴天出门要带雨伞,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,面条在锅里煮着,Ability,CMNxDIA,1.0,0.0,2.0
qwen2.5,CHD_033,CHD,面条在锅里煮着,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,面条在锅里煮着,Trust,CMNxDIA,1.0,0.0,2.0
qwen2.5,CHD_033,CHD,面条在锅里煮着,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,CHD_033,CHD,面条在锅里煮着,Warmth,CMNxDIA,1.0,0.0,2.0
qwen2.5,CHD_033,CHD,面条在锅里煮着,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,儿童需要悉心抚养,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,儿童需要悉心抚养,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,儿童需要悉心抚养,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,儿童需要悉心抚养,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,儿童需要悉心抚养,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,儿童需要悉心抚养,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,农民在山坡上种了树,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,农民在山坡上种了树,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,农民在山坡上种了树,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,农民在山坡上种了树,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,农民在山坡上种了树,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,农民在山坡上种了树,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,动物会随季节变化换毛,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,动物会随季节变化换毛,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,动物会随季节变化换毛,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,动物会随季节变化换毛,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,动物会随季节变化换毛,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,动物会随季节变化换毛,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,有一只鹰在天上飞,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,有一只鹰在天上飞,Ability,DIAxCMN,0.0,0.0,2.0
qwen2.5,JNN_013,JNN,有一只鹰在天上飞,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,有一只鹰在天上飞,Trust,DIAxCMN,0.0,0.0,2.0
qwen2.5,JNN_013,JNN,有一只鹰在天上飞,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,有一只鹰在天上飞,Warmth,DIAxCMN,0.0,0.0,2.0
qwen2.5,JNN_013,JNN,病人需要及时治疗,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,病人需要及时治疗,Ability,DIAxCMN,0.0,0.0,4.0
qwen2.5,JNN_013,JNN,病人需要及时治疗,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,病人需要及时治疗,Trust,DIAxCMN,0.0,0.0,4.0
qwen2.5,JNN_013,JNN,病人需要及时治疗,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,病人需要及时治疗,Warmth,DIAxCMN,0.0,0.0,4.0
qwen2.5,JNN_013,JNN,这本书印制精良,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,这本书印制精良,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,这本书印制精良,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,这本书印制精良,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,这本书印制精良,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,这本书印制精良,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,锅里的包子熟了,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,锅里的包子熟了,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,锅里的包子熟了,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,锅里的包子熟了,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,锅里的包子熟了,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,锅里的包子熟了,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,阴天出门要带雨伞,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,阴天出门要带雨伞,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,阴天出门要带雨伞,Trust,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,阴天出门要带雨伞,Trust,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,阴天出门要带雨伞,Warmth,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,阴天出门要带雨伞,Warmth,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,面条在锅里煮着,Ability,CMNxDIA,1.0,0.0,3.0
qwen2.5,JNN_013,JNN,面条在锅里煮着,Ability,DIAxCMN,0.0,0.0,3.0
qwen2.5,JNN_013,JNN,面条在锅里煮着,Trust,CMNxDIA,1.0,0.0,3.0
