model,construct,dialect,mean,ci_low,ci_high,sd,n
qwen3,Warmth,CHD,0.10370370370370371,0.05615131950219633,0.1512560879052111,0.22703893446699008,90.0
qwen3,Warmth,JNN,0.15925925925925924,0.07031399635458295,0.24820452216393551,0.4246693000752602,90.0
qwen3,Warmth,TYN,-0.3518518518518518,-0.5749373158235622,-0.1287663878801414,1.0651219047310292,90.0
qwen3,Warmth,WHN,0.051851851851851836,-0.01426582808709597,0.11796953179079964,0.31567896867497863,90.0
qwen3,Warmth,XIA,-0.3037037037037037,-0.48517054847199864,-0.12223685893540875,0.8664137407430847,90.0
qwen3.5,Ability,BEI,-0.0962962962962963,-0.16898959073307374,-0.023603001859518843,0.34707425061765795,90.0
qwen3.5,Ability,CHD,-0.7370370370370369,-0.8799605380571986,-0.5941135360168752,0.682388484337672,90.0
qwen3.5,Ability,JNN,-1.1,-1.2459401103470331,-0.9540598896529671,0.696791290396224,90.0
qwen3.5,Ability,TYN,-0.39629629629629626,-0.5685508635327007,-0.2240417290598918,0.8224297069248959,90.0
qwen3.5,Ability,WHN,-0.9740740740740743,-1.1014934563827146,-0.8466546917654341,0.608364044738659,90.0
qwen3.5,Ability,XIA,-1.0148148148148148,-1.1799322136134458,-0.849697416016184,0.7883532847973137,90.0
qwen3.5,Trust,BEI,-0.044444444444444446,-0.0878489606643239,-0.0010399282245649802,0.20723493215097805,90.0
qwen3.5,Trust,CHD,-0.06666666666666667,-0.11920435585854247,-0.014128977474790867,0.25084128112136317,90.0
qwen3.5,Trust,JNN,-0.07777777777777778,-0.13418617564628837,-0.02136937990926717,0.26932198589215456,90.0
qwen3.5,Trust,TYN,-0.03333333333333333,-0.10663100889977337,0.039964342233106694,0.34995986928840794,90.0
qwen3.5,Trust,WHN,-0.2111111111111111,-0.30261919073981847,-0.11960303148240378,0.43690547262535806,90.0
qwen3.5,Trust,XIA,-0.35555555555555557,-0.4823597806318347,-0.22875133047927645,0.6054269755483298,90.0
qwen3.5,Warmth,BEI,-1.2335811384723962e-18,-0.06701354998333815,0.06701354998333815,0.3199563016355587,90.0
qwen3.5,Warmth,CHD,0.029629629629629634,-0.04411086120550507,0.10337012046476433,0.35207409149741686,90.0
qwen3.5,Warmth,JNN,-0.07777777777777778,-0.16283419936246102,0.007278643806905474,0.40610202096973785,90.0
qwen3.5,Warmth,TYN,-0.07407407407407408,-0.20343430760297876,0.05528615945483058,0.617630641995707,90.0
qwen3.5,Warmth,WHN,0.048148148148148155,-0.048659329466355296,0.1449556257626516,0.4622074567890359,90.0
qwen3.5,Warmth,XIA,-0.15555555555555553,-0.2799176549550808,-0.031193456156030266,0.5937670425965959,90.0
